budget,escalated,pct,f1,prec,rec,calls,cost,f1_sd
0.0,0.0,0.0,0.5563249582806967,0.5312097812097812,0.5888888888888889,0.0,0.0,0.021389516198250066
0.05,6.333333333333333,4.986876640419947,0.5875810069790628,0.5598377281947261,0.6222222222222222,6.333333333333333,0.006634166666666667,0.02141096778933025
0.1,12.0,9.448818897637794,0.6076666585141162,0.586235922442819,0.6333333333333333,12.0,0.012570000000000001,0.028067840305379923
0.15,22.333333333333332,17.58530183727034,0.6287342287342287,0.6051948051948052,0.6555555555555554,22.333333333333332,0.023394166666666667,0.03378172028076881
0.2,27.0,21.25984251968504,0.6469937469937469,0.6205387205387205,0.6777777777777777,27.0,0.028282500000000002,0.03928928997214216
0.3,39.333333333333336,30.971128608923884,0.6457542105347499,0.617831541218638,0.6777777777777777,39.333333333333336,0.04120166666666667,0.007920534446239967
0.4,52.0,40.94488188976378,0.6555496964741067,0.6175607425607424,0.7000000000000001,52.0,0.054470000000000005,0.022327564920045753
0.5,62.333333333333336,49.08136482939633,0.6795145477545858,0.634545923632611,0.7333333333333334,62.333333333333336,0.06529416666666667,0.02542423315206321
0.7,87.33333333333333,68.76640419947506,0.693413775766717,0.6416951469583049,0.7555555555555555,87.33333333333333,0.09148166666666667,0.018927490905343337
1.0,124.0,97.63779527559055,0.7207459207459207,0.6634920634920635,0.7888888888888891,124.0,0.12989,0.009230298309194964
